,RNAi Phenotype Observed,Allele Phenotype Observed
WBGene00000156,"AB lineage variant, antibody staining variant, asymmetric cell division variant, cell division precocious, cell fate transformation, cell polarity variant, E lineage variant, embryonic lethal, endoderm absent, epithelial development variant, excess intestinal cells, excess pharyngeal cells, excess seam cells, extended life span, intestinal development variant, larval arrest, larval lethal, locomotion variant, mitotic spindle defective early emb, multivulva, neuron development variant, no gut granules, no Intestine, organism development variant, organism morphology variant, pattern of transgene expression variant, pattern protein expression variant, phasmid neuron dye filling defect, protein export from nucleus defective, protein expression reduced, protein subcellular localization variant, T lineages variant, V lineages variant, vulva cell fate specification variant, vulval cell induction increased","body elongation retracted, cell fate transformation, dorsal intercalation defective, embryonic lethal, hypodermal cell elongation defective, hypodermis disorganized, organism morphology variable, protein expression absent, sterile, ventral closure defective, zygotic lethal"
WBGene00000157,"aldicarb resistant, body morphology variant, embryonic lethal, head morphology variant, larval lethal, sterile, tail morphology variant, transgene subcellular localization variant","growth variant, lethal, sterile"
WBGene00000158,"cell cycle timing defective early emb, cell position defective, embryonic arrest, embryonic lethal, embryonic lethal late emb, larval arrest, larval lethal, late embryonic arrest, locomotion variant, protein aggregation variant, protein secretion variant, slow growth, transgene subcellular localization variant","L1 lethal, lethal, sterile"
WBGene00000159,"aldicarb resistant, cell membrane organization biogenesis variant, clear, comma arrest emb, developmental delay, dorsal intercalation defective, embryonic cell fate specification variant, embryonic lethal, extended life span, foraging behavior variant, germ cell compartment size variant, germline nuclear positioning variant, gonad morphology variant, hypodermis development variant, larval arrest, larval lethal, lima bean arrest, locomotion variant, lysosome-related organelle morphology variant, maternal sterile, neuron development variant, nuclear appearance variant, one point five fold arrest emb, RAB-11 recycling endosome localization variant, RAB-11 recycling endosome morphology variant, seam cell morphology variant, sick, sterile, transgene expression reduced, transgene subcellular localization variant, two fold arrest, ventral closure defective","L1 lethal, lethal, sterile"
WBGene00000160,"accumulated germline cell corpses, aldicarb resistant, apoptosis reduced, cell acidification defective, cell membrane organization biogenesis variant, chromosome condensation variant, cytoplasmic processing body variant, diplotene region organization variant, embryonic arrest, embryonic lethal, engulfment failure by killer cell, germ cell compartment anucleate, germ cell compartment expansion variant, germline nuclear positioning variant, gonad morphology variant, larval arrest, larval lethal, maternal sterile, nuclear appearance variant, oocyte morphology variant, oocyte number decreased, oocyte septum formation variant, oocytes lack nucleus, phagosome maturation defective, rachis narrow, sick, sterile, transgene expression reduced, transgene subcellular localization variant","amplitude of sinusoidal movement variant, backward point velocity increased, body posture amplitude decreased, body posture wavelength increased, fat, forward point velocity increased, frequency of body bends increased, head bend angle variant, lethal, long, nose movement variant, path curvature decreased, roaming increased, sterile, tail bend angle increased, turning frequency variant"
WBGene00000161,"accumulated germline cell corpses, aldicarb resistant, clear, embryonic lethal, lethal, locomotion variant, paralyzed, protein aggregation variant, reduced brood size, slow growth, transgene subcellular localization variant","backward locomotion variant, brood size variant, dumpy, egg laying defective, endogenous synaptic amplitude variant, evoked postsynaptic amplitude reduced, head protrusion, lethal, presynaptic component localization variant, presynaptic vesicle number reduced, protein expression reduced, sterile, swimming variant, transgene subcellular localization variant, uptake of yolk defective, vesicle morphology variant"
WBGene00000162,"dumpy, embryonic lethal, larval arrest, lysosome-related organelle localization variant, lysosome-related organelle morphology variant",N.A.
WBGene00000163,"dumpy, embryonic lethal, fat content reduced, gut granule biogenesis reduced, larval arrest, lysosome-related organelle localization variant, lysosome-related organelle morphology variant, neuron degeneration enhanced","axon guidance variant, gut granule biogenesis reduced, gut granule birefringence misplaced, neuron degeneration enhanced"
WBGene00000164,"dumpy, embryonic lethal, fat content reduced, larval arrest, lysosome-related organelle localization variant, lysosome-related organelle morphology variant, transgene expression increased, transgene subcellular localization variant","gut granule biogenesis reduced, gut granule birefringence misplaced"
WBGene00000165,"apoptosis reduced, dumpy, embryonic lethal, germline nuclear positioning variant, larval arrest, lysosome-related organelle localization variant, lysosome-related organelle morphology variant, maternal sterile, oocyte number decreased, oogenesis variant, rachis morphology variant, sterile, transgene subcellular localization variant",N.A.
WBGene00000166,protein secretion variant,N.A.
WBGene00000168,"accumulated germline cell corpses, cell fate transformation, embryonic lethal, germ cell differentiation variant, transgene expression increased, tumorous germline, vulva cell fate specification variant","AB lineage variant, anterior pharynx extra cells, cell fate specification variant, cell fate transformation, lethal, level of transgene expression variant, maternal effect lethal emb, pattern of transgene expression variant, rectal development variant, sterile, ventral enclosure variant"
WBGene00000169,"life span phenotype, pathogen induced death increased, pathogen resistance increased","shortened life span, transgene expression variant"
WBGene00000170,dauer constitutive,N.A.
WBGene00000171,N.A.,N.A.
WBGene00000172,N.A.,N.A.
WBGene00000173,N.A.,N.A.
WBGene00000174,N.A.,N.A.
WBGene00000175,N.A.,N.A.
WBGene00000176,N.A.,organism osmotic stress response variant
WBGene00000177,N.A.,N.A.
WBGene00000178,N.A.,N.A.
WBGene00000179,N.A.,N.A.
WBGene00000180,"protein aggregation variant, resistant to protein aggregation induced paralysis",N.A.
